{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 192}
{'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 212}
{'name': 'smss.exe', 'username': None, 'pid': 368}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 480}
{'name': 'csrss.exe', 'username': None, 'pid': 552}
{'name': 'svchost.exe', 'username': None, 'pid': 556}
{'name': 'csrss.exe', 'username': None, 'pid': 664}
{'name': 'wininit.exe', 'username': None, 'pid': 688}
{'name': 'svchost.exe', 'username': None, 'pid': 732}
{'name': 'winlogon.exe', 'username': None, 'pid': 772}
{'name': 'svchost.exe', 'username': None, 'pid': 812}
{'name': 'services.exe', 'username': None, 'pid': 816}
{'name': 'lsass.exe', 'username': None, 'pid': 832}
{'name': 'HxTsr.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 944}
{'name': 'svchost.exe', 'username': None, 'pid': 948}
{'name': 'svchost.exe', 'username': None, 'pid': 980}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 988}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1004}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1012}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1020}
{'name': 'dwm.exe', 'username': None, 'pid': 1084}
{'name': 'svchost.exe', 'username': None, 'pid': 1184}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1200}
{'name': 'fmapp.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1244}
{'name': 'svchost.exe', 'username': None, 'pid': 1300}
{'name': 'svchost.exe', 'username': None, 'pid': 1308}
{'name': 'fsnotifier64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1376}
{'name': 'svchost.exe', 'username': None, 'pid': 1408}
{'name': 'svchost.exe', 'username': None, 'pid': 1444}
